Lemma,Language Code,Lexical Category,Definition
အခၚ်,mnw,noun,"1 (n) fact that, fact of being.   အခၚ်စိုပ်ဣတေံဟွံတီ (n) this fellow did not know that he had arrived.   အခၚ်ညးကၠုၚ်အဲဟွံတီ (n) I don’t know that he will com."
အခၚ်,mnw,noun,"2 အခၚ်တောဝ် (n) skein {of yam} woollen thread, thread prepared for knitting, weaving, etc., length of silk or wool yam or thread coiled loosely into bundle."
အခန်,mnw,noun,"(n) chapter {of book}, division of a writing or discourse, section, role, segment of a monk’s rove which is patched together from several pieces as prescribed. [id.] လ္ပာ်၊ အခန်ဇၞော်၊ အခန်ဍောတ်။"
အခဝ်,mnw,noun,"(n) [P. akahara] letter of alphabet, letter of an alphabet, character. [id.] အက္ခဝ်၊ အက္ခရ်။"
အခဝ်,mnw,noun,အရေဝ်အၚ်္ဂလိက်ဂှ် ချုကဵုအက္ခဝ်မန်ဟာ (n) is it possible to write English in Mon characters?
အခဝ်,mnw,noun,စက်မအက္ခဝ် (n) typewriter. [Syn.] မလိက်။
အခါ,mnw,noun,"(n) time, season, continuing time, time when, year, duration, period, moment, frequency."
အခါ,mnw,noun,အခါသၠုဲသၠာ်ဝါတ် သ္ဒးရပ်သၠုဲသၠာ်ကဳုဒ္ဂေတ်မံၚ် (n) when the money is short one must spend it accordingly.
အခါ,mnw,noun,မၞိဟ်ဂကူလၞုဟ်လဳ အခါလဵုခိုဟ်စဟွံမာန် (n) an idle man will never get rich.
အခါ,mnw,noun,မွဲအခါ (n) one year.
အခါကာလ,mnw,noun,"(n) time, period."
အခါန်,mnw,noun,"(n) [Bur] compartment, chamber, room, apartment."
အခါန်,mnw,noun,သ္ၚိနာဲညှာမဵစိအခါန်ရော (n) how many rooms has Nai Hnyar in his house? [Cf.] အဖိုၚ်၊ ခဒမ်။
အခိၚ်,mnw,noun,"(n) time, time of day, precise time, {infrequent} occasion, movement."
အခိၚ်,mnw,noun,အ္စာဘာအခိၚ်လဵုစိုပ်ဘာရော (n) what time does the teacher get to school?
အခိၚ်,mnw,verb,"ဖအိုတ်အခိၚ် (v) to waste-off time, waste one’s time."
အခိၚ်,mnw,noun,မွဲတ္ၚဲပိအခိၚ်သုၚ်ညိ (n) take a dose three times a day. [id.] အခါ၊ ကာလ၊ ပယျာံ။
အခိၚ်ကာလရဲကောန်ဍုၚ်ဖာပလိုတ်တံမအုပ်ဓုပ်,mnw,noun,(n) regent of the west.
အခိၚ်ကောန်ၚ္ၚာ်လုပ်ဒၟံၚ်သ္တိက်,mnw,noun,(n) bed time for children {sued as folk reference for any time around eight pm}.
အခိၚ်စာၚ်ဂြဴ,mnw,noun,"(n) cock-crow, dawn."
အခိၚ်ဆမဂွံသ္တိဆမသမ္တီဒး,mnw,noun,"(n) recollection, ability to recollect, action of recollecting. [id.] အရာမဂွံသတိ၊ အရာသမ္တီဒး။"
အခိၚ်ဍေန်ပၟတ်,mnw,noun,"(n) lighting up time, dusk, time after twilight and before night."
အခိၚ်တိုၚ်,mnw,noun,(n) standard time.
အခိၚ်တိုၚ်ဂြိန်ဝေတ်,mnw,noun,(n) [Eng.] Greenwich Mean Time (abbr GMT).
အခိၚ်တ္ၚဲ,mnw,noun,"(n) day time, midday."
အခိၚ်တ္ၚဲသဝ်,mnw,noun,"(n) sundown, sunset time. [id.] အခိၚ်တ္ၚဲလုပ်ဒဵု။"
အခိၚ်ပေၚ်ပေၚ်,mnw,noun,(n) full time.
အခိၚ်ဗ္တံ,mnw,noun,"(n) night, night time."
အခိၚ်မွဲဒကုတ်မွဲဒကဴ,mnw,noun,(n) part time.
